Running on sxm003
current directory: /home/alejandrolopezcordero01/explore-bench-cfm/explore-bench/cfm_example
Python 3.11.15
scipy 1.15.3 torch 2.6.0+cu124
HiGHS OK
Wed Sep 23 01:51:36 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-SXM4-80GB          On  |   00000000:13:00.0 Off |                    0 |
| N/A   24C    P0             59W /  400W |       0MiB /  81920MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
corridor_asym        episode 0:  166 steps, coverage 98.1%, 332 examples so far, 50s
corridor_asym        episode 1:  166 steps, coverage 98.4%, 664 examples so far, 51s
corridor_asym        episode 2:  102 steps, coverage 98.4%, 868 examples so far, 30s
corridor_asym        episode 3:  127 steps, coverage 98.1%, 1122 examples so far, 45s
corridor_asym        episode 4:  111 steps, coverage 98.1%, 1344 examples so far, 31s
corridor_asym        episode 5:  144 steps, coverage 98.1%, 1632 examples so far, 46s
corridor_asym        episode 6:  153 steps, coverage 98.1%, 1938 examples so far, 49s
corridor_asym        episode 7:   75 steps, coverage 98.0%, 2088 examples so far, 18s
corridor_asym        episode 8:  145 steps, coverage 98.1%, 2378 examples so far, 48s
corridor_asym        episode 9:  151 steps, coverage 98.6%, 2680 examples so far, 46s
corridor_sym         episode 0:  281 steps, coverage 98.1%, 3242 examples so far, 116s
corridor_sym         episode 1:  245 steps, coverage 98.1%, 3732 examples so far, 100s
corridor_sym         episode 2:  214 steps, coverage 98.4%, 4160 examples so far, 69s
corridor_sym         episode 3:  227 steps, coverage 98.1%, 4614 examples so far, 91s
corridor_sym         episode 4:  242 steps, coverage 98.0%, 5098 examples so far, 97s
corridor_sym         episode 5:  254 steps, coverage 98.3%, 5606 examples so far, 99s
corridor_sym         episode 6:  292 steps, coverage 98.1%, 6190 examples so far, 142s
corridor_sym         episode 7:  292 steps, coverage 98.1%, 6774 examples so far, 141s
corridor_sym         episode 8:  267 steps, coverage 98.1%, 7308 examples so far, 114s
corridor_sym         episode 9:  258 steps, coverage 98.1%, 7824 examples so far, 110s
room_2               episode 0:  514 steps, coverage 98.1%, 8852 examples so far, 259s
room_2               episode 1:  417 steps, coverage 98.0%, 9686 examples so far, 213s
room_2               episode 2:  600 steps, coverage 97.2%, 10876 examples so far, 320s
room_2               episode 3:  584 steps, coverage 98.1%, 12044 examples so far, 336s
room_2               episode 4:  550 steps, coverage 98.0%, 13144 examples so far, 269s
room_2               episode 5:  466 steps, coverage 98.0%, 14076 examples so far, 215s
room_2               episode 6:  478 steps, coverage 98.1%, 15032 examples so far, 227s
room_2               episode 7:  465 steps, coverage 98.1%, 15962 examples so far, 253s
room_2               episode 8:  519 steps, coverage 98.0%, 17000 examples so far, 260s
room_2               episode 9:  600 steps, coverage 95.8%, 18200 examples so far, 322s
room_3               episode 0:  600 steps, coverage 94.7%, 19400 examples so far, 464s
room_3               episode 1:  600 steps, coverage 82.1%, 20600 examples so far, 398s
room_3               episode 2:  600 steps, coverage 80.4%, 21800 examples so far, 435s
room_3               episode 3:  600 steps, coverage 86.3%, 23000 examples so far, 446s
room_3               episode 4:  600 steps, coverage 80.5%, 24200 examples so far, 509s
room_3               episode 5:  600 steps, coverage 90.4%, 25400 examples so far, 446s
room_3               episode 6:  600 steps, coverage 90.8%, 26600 examples so far, 454s
room_3               episode 7:  600 steps, coverage 95.1%, 27800 examples so far, 472s
room_3               episode 8:  600 steps, coverage 92.7%, 29000 examples so far, 434s
room_3               episode 9:  600 steps, coverage 97.1%, 30200 examples so far, 530s
room_with_corridor   episode 0:  600 steps, coverage 92.0%, 31400 examples so far, 314s
room_with_corridor   episode 1:  456 steps, coverage 98.1%, 32306 examples so far, 231s
room_with_corridor   episode 2:  600 steps, coverage 93.7%, 33506 examples so far, 322s
room_with_corridor   episode 3:  600 steps, coverage 91.5%, 34706 examples so far, 301s
room_with_corridor   episode 4:  600 steps, coverage 94.3%, 35906 examples so far, 316s
room_with_corridor   episode 5:  600 steps, coverage 89.8%, 37106 examples so far, 304s
room_with_corridor   episode 6:  452 steps, coverage 98.1%, 38010 examples so far, 231s
room_with_corridor   episode 7:  574 steps, coverage 98.2%, 39155 examples so far, 301s
room_with_corridor   episode 8:  600 steps, coverage 89.9%, 40355 examples so far, 299s
room_with_corridor   episode 9:  458 steps, coverage 98.1%, 41271 examples so far, 251s
