method,map,robots,seed,ckpt,steps_90,steps_98,final_coverage,total_path,longest_path,overlap,mean_snap_cells,seconds
cfm,corner,2,41,cfm_cpp.pt,480,943,0.9803,1886,943,0.779,16.3,128
cfm,corner,2,42,cfm_cpp.pt,398,512,0.9801,1024,512,0.352,16.62,123
cfm,corner,2,43,cfm_cpp.pt,576,969,0.9805,1938,969,0.957,18.82,246
cfm,corner,2,41,cfm_mtsp.pt,475,528,0.9802,1056,528,0.422,18.29,98
cfm,corner,2,42,cfm_mtsp.pt,502,820,0.98,1640,820,0.42,22.48,177
cfm,corner,2,43,cfm_mtsp.pt,730,799,0.9803,1598,799,0.637,17.97,133
mtsp,corner,2,41,,413,513,0.9802,1026,513,0.049,,103
mtsp,corner,2,42,,300,445,0.9808,890,445,0.195,,120
mtsp,corner,2,43,,363,480,0.9873,960,480,0.157,,96
milp_cpp,corner,2,41,,383,549,0.9988,1098,549,0.145,,55
milp_cpp,corner,2,42,,526,563,0.9801,1126,563,0.04,,102
milp_cpp,corner,2,43,,440,497,0.9815,994,497,0.15,,61
cost,corner,2,41,,654,1194,0.9804,1876,1194,0.759,,101
cost,corner,2,42,,473,761,0.9873,1326,761,0.377,,69
cost,corner,2,43,,870,1061,0.9826,2122,1061,0.947,,86
mmpf,corner,2,41,,395,651,0.9802,1302,651,0.103,,82
mmpf,corner,2,42,,850,943,0.982,1886,943,0.009,,194
mmpf,corner,2,43,,328,660,0.9929,1320,660,0.163,,89
